TIMESTAMP, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T04:55:44.395Z, 0.00, 0.00, 0.00, 0.00, 15323980, False, False
2026-03-13T04:55:46.621Z, 0.00, 0.00, 0.00, 0.00, 15324760, False, False
2026-03-13T04:55:48.814Z, 0.00, 0.00, 0.00, 0.00, 13653328, False, False
2026-03-13T04:55:51.019Z, 0.00, 0.00, 0.00, 0.00, 11175932, False, False
2026-03-13T04:55:53.205Z, 0.00, 0.00, 0.00, 0.00, 8650924, False, False
2026-03-13T04:55:55.393Z, 0.00, 0.00, 0.00, 0.00, 6178428, False, False
2026-03-13T04:55:57.686Z, 0.18, 0.03, 0.18, 0.03, 3369808, False, False
2026-03-13T04:57:02.823Z, 36.22, 22.46, 34.33, 21.19, 169000, False, False
2026-03-13T04:58:15.996Z, 34.30, 31.51, 32.64, 29.98, 167592, False, False
2026-03-13T04:58:42.722Z, 18.75, 27.52, 17.68, 26.13, 177216, False, False
2026-03-13T04:58:45.010Z, 15.71, 26.68, 14.84, 25.34, 171892, False, False
2026-03-13T04:58:47.279Z, 11.98, 25.23, 11.21, 23.94, 179916, False, False
2026-03-13T04:58:49.881Z, 10.35, 24.50, 9.72, 23.25, 152892, False, False
2026-03-13T04:58:52.140Z, 8.66, 23.73, 8.14, 22.52, 174008, False, False
2026-03-13T04:58:54.368Z, 8.18, 23.15, 7.57, 21.95, 183332, False, False
2026-03-13T04:58:56.597Z, 6.69, 22.39, 6.20, 21.23, 183000, False, False
2026-03-13T04:58:58.828Z, 5.48, 21.66, 5.08, 20.54, 184028, False, False
2026-03-13T04:59:01.147Z, 4.85, 21.02, 4.52, 19.93, 182388, False, False
2026-03-13T04:59:03.631Z, 3.91, 19.79, 3.69, 18.77, 183872, False, False
2026-03-13T04:59:05.889Z, 3.38, 19.18, 3.20, 18.19, 175520, False, False
2026-03-13T04:59:08.146Z, 2.77, 18.55, 2.62, 17.60, 183644, False, False
2026-03-13T04:59:10.432Z, 2.45, 17.97, 2.14, 17.02, 167132, False, False
2026-03-13T04:59:12.965Z, 3.81, 17.71, 3.38, 16.76, 161352, False, False
2026-03-13T04:59:49.321Z, 2.20, 10.89, 2.19, 10.36, 15424876, Unknown, False
2026-03-13T05:00:14.820Z, 0.28, 7.33, 0.27, 6.98, 13117892, False, False
2026-03-13T05:00:17.014Z, 0.22, 7.09, 0.22, 6.75, 10317860, False, False
2026-03-13T05:00:19.194Z, 0.18, 6.86, 0.18, 6.53, 7509688, False, False
2026-03-13T05:00:21.380Z, 0.12, 6.41, 0.12, 6.11, 4658764, False, False
2026-03-13T05:00:23.565Z, 0.10, 6.20, 0.10, 5.91, 1917492, False, False
2026-03-13T05:00:46.573Z, 2.76, 5.70, 2.76, 5.50, 15428752, False, False
2026-03-13T05:01:08.877Z, 0.47, 4.12, 0.47, 3.97, 11969380, False, False
2026-03-13T05:01:11.101Z, 0.38, 3.98, 0.38, 3.84, 8623440, False, False
2026-03-13T05:01:13.378Z, 0.25, 3.72, 0.25, 3.59, 5207092, False, False
2026-03-13T05:01:15.632Z, 0.75, 3.70, 0.75, 3.57, 1926860, False, False
2026-03-13T05:04:14.308Z, 5.77, 16.76, 5.51, 16.58, 15415260, False, False
2026-03-13T05:04:41.753Z, 0.35, 10.52, 0.33, 10.40, 12032840, False, False
2026-03-13T05:04:43.947Z, 0.28, 10.17, 0.27, 10.06, 8777864, False, False
2026-03-13T05:04:46.160Z, 0.23, 9.84, 0.22, 9.73, 5450432, False, False
2026-03-13T05:04:48.374Z, 0.19, 9.52, 0.18, 9.41, 2099304, False, False
2026-03-13T05:06:46.826Z, 13.01, 31.26, 12.87, 31.12, 15438692, False, False
2026-03-13T05:07:14.020Z, 0.96, 20.28, 0.95, 20.19, 15446016, False, False
2026-03-13T05:07:16.219Z, 0.79, 19.62, 0.78, 19.53, 15444236, False, False
2026-03-13T05:07:18.385Z, 0.64, 18.98, 0.64, 18.89, 15443904, False, False
2026-03-13T05:07:20.558Z, 0.53, 18.36, 0.52, 18.27, 15416428, False, False
2026-03-13T05:07:22.767Z, 0.43, 17.75, 0.42, 17.67, 15441984, False, False
2026-03-13T05:07:24.935Z, 0.35, 17.17, 0.35, 17.10, 15442684, False, False
2026-03-13T05:07:27.100Z, 0.29, 16.61, 0.28, 16.54, 15029404, False, False
2026-03-13T05:07:29.284Z, 0.23, 16.07, 0.23, 15.99, 12216224, False, False
2026-03-13T05:07:31.464Z, 0.19, 15.54, 0.19, 15.47, 9413764, False, False
2026-03-13T05:07:33.698Z, 0.12, 14.54, 0.12, 14.47, 6596052, False, False
2026-03-13T05:07:35.938Z, 0.10, 14.06, 0.10, 14.00, 3704320, False, False
2026-03-13T05:07:38.130Z, 0.08, 13.60, 0.08, 13.54, 916008, False, False
2026-03-13T05:09:47.733Z, 11.52, 22.61, 11.37, 22.45, 15412500, Unknown, False
2026-03-13T05:10:15.629Z, 1.04, 15.17, 1.03, 15.06, 15422268, False, False
2026-03-13T05:10:17.814Z, 0.70, 14.19, 0.69, 14.09, 15399424, False, False
2026-03-13T05:10:19.981Z, 0.57, 13.73, 0.56, 13.63, 15413592, False, False
2026-03-13T05:10:22.153Z, 0.46, 13.28, 0.46, 13.18, 15409100, False, False
2026-03-13T05:10:24.394Z, 0.38, 12.84, 0.37, 12.75, 15410976, False, False
2026-03-13T05:10:26.567Z, 0.31, 12.42, 0.31, 12.33, 15424664, False, False
2026-03-13T05:10:28.734Z, 0.25, 12.02, 0.25, 11.93, 15408448, False, False
2026-03-13T05:10:30.938Z, 0.21, 11.62, 0.20, 11.54, 15421844, False, False
2026-03-13T05:10:33.111Z, 0.17, 11.24, 0.16, 11.16, 15397924, False, False
2026-03-13T05:10:35.309Z, 0.14, 10.87, 0.13, 10.79, 15406852, False, False
2026-03-13T05:10:37.488Z, 0.11, 10.52, 0.11, 10.44, 15419192, False, False
2026-03-13T05:10:39.697Z, 0.07, 9.84, 0.07, 9.77, 15394768, False, False
2026-03-13T05:10:41.890Z, 0.06, 9.52, 0.06, 9.45, 15416208, False, False
2026-03-13T05:10:44.061Z, 0.05, 9.21, 0.05, 9.14, 15401068, False, False
2026-03-13T05:10:46.248Z, 0.04, 8.90, 0.04, 8.84, 15408312, False, False
2026-03-13T05:10:48.419Z, 0.03, 8.61, 0.03, 8.55, 15398828, False, False
2026-03-13T05:10:50.610Z, 0.02, 8.33, 0.02, 8.27, 15390328, False, False
2026-03-13T05:10:52.775Z, 0.02, 8.06, 0.02, 8.00, 15411284, False, False
2026-03-13T05:10:54.947Z, 0.01, 7.79, 0.01, 7.74, 15391852, False, False
2026-03-13T05:10:57.115Z, 0.01, 7.54, 0.01, 7.48, 15403384, False, False
2026-03-13T05:10:59.283Z, 0.01, 7.29, 0.01, 7.24, 15404956, False, False
2026-03-13T05:11:01.450Z, 0.00, 7.05, 0.00, 7.00, 15392220, False, False
2026-03-13T05:11:03.620Z, 0.00, 6.82, 0.00, 6.77, 15399308, False, False
2026-03-13T05:11:05.814Z, 0.00, 6.38, 0.00, 6.33, 15372508, False, False
2026-03-13T05:11:08.002Z, 0.00, 6.17, 0.00, 6.13, 15404276, False, False
2026-03-13T05:11:10.177Z, 0.00, 5.97, 0.00, 5.93, 15399216, False, False
2026-03-13T05:11:12.348Z, 0.00, 5.77, 0.00, 5.73, 15400360, False, False
2026-03-13T05:11:14.517Z, 0.00, 5.58, 0.00, 5.54, 15368880, False, False
2026-03-13T05:11:16.690Z, 0.00, 5.40, 0.00, 5.36, 15388160, False, False
2026-03-13T05:11:18.860Z, 0.00, 5.22, 0.00, 5.19, 15387744, False, False
2026-03-13T05:11:21.031Z, 0.00, 5.05, 0.00, 5.02, 15393876, False, False
2026-03-13T05:11:23.202Z, 0.00, 4.89, 0.00, 4.85, 15390568, False, False
2026-03-13T05:11:25.379Z, 0.00, 4.73, 0.00, 4.69, 13959004, False, False
2026-03-13T05:11:27.597Z, 0.00, 4.57, 0.00, 4.54, 11135024, False, False
2026-03-13T05:11:29.776Z, 0.00, 4.28, 0.00, 4.25, 8317848, False, False
2026-03-13T05:11:31.983Z, 0.00, 4.14, 0.00, 4.11, 5450760, False, False
2026-03-13T05:11:34.203Z, 0.00, 4.00, 0.00, 3.97, 2577344, False, False
2026-03-13T05:13:20.969Z, 9.91, 21.31, 9.74, 21.16, 15366768, False, False
2026-03-13T05:13:45.995Z, 0.95, 14.32, 0.93, 14.22, 15384596, False, False
2026-03-13T05:13:48.195Z, 0.78, 13.85, 0.76, 13.75, 15371888, False, False
