TIMESTAMP, EVENT, PSI_SOME_AVG10, PSI_SOME_AVG60, PSI_FULL_AVG10, PSI_FULL_AVG60, MEM_AVAIL_KB, COND_MEM_PRESSURE, COND_PSI_PRESSURE
2026-03-13T06:34:39.901Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15319928, False, False
2026-03-13T06:34:42.104Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331488, False, False
2026-03-13T06:34:44.269Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 13374172, False, False
2026-03-13T06:34:46.470Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 14976796, False, False
2026-03-13T06:34:48.646Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 12764524, False, False
2026-03-13T06:34:50.855Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15157772, False, False
2026-03-13T06:34:53.021Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15196340, False, False
2026-03-13T06:34:55.184Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15251792, False, False
2026-03-13T06:34:57.374Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15280620, False, False
2026-03-13T06:34:59.544Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15302676, False, False
2026-03-13T06:35:01.729Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15324272, False, False
2026-03-13T06:35:03.907Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 13887224, False, False
2026-03-13T06:35:06.105Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15199388, False, False
2026-03-13T06:35:08.276Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15247168, False, False
2026-03-13T06:35:10.449Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15291080, False, False
2026-03-13T06:35:12.616Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337240, False, False
2026-03-13T06:35:14.782Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340628, False, False
2026-03-13T06:35:16.947Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15317060, False, False
2026-03-13T06:35:19.112Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345556, False, False
2026-03-13T06:35:21.281Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15334784, False, False
2026-03-13T06:35:23.448Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341636, False, False
2026-03-13T06:35:25.614Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341296, False, False
2026-03-13T06:35:27.782Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 14130336, False, False
2026-03-13T06:35:29.981Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332872, False, False
2026-03-13T06:35:32.148Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15317728, False, False
2026-03-13T06:35:34.318Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341864, False, False
2026-03-13T06:35:36.482Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329432, False, False
2026-03-13T06:35:38.648Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340660, False, False
2026-03-13T06:35:40.816Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341292, False, False
2026-03-13T06:35:42.981Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331432, False, False
2026-03-13T06:35:45.148Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15336876, False, False
2026-03-13T06:35:47.316Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15318456, False, False
2026-03-13T06:35:49.485Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330444, False, False
2026-03-13T06:35:51.655Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15322548, False, False
2026-03-13T06:35:53.837Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337656, False, False
2026-03-13T06:35:56.009Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337456, False, False
2026-03-13T06:35:58.177Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15327964, False, False
2026-03-13T06:36:00.346Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15344280, False, False
2026-03-13T06:36:02.514Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329816, False, False
2026-03-13T06:36:04.688Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341696, False, False
2026-03-13T06:36:06.855Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15320488, False, False
2026-03-13T06:36:09.024Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15333920, False, False
2026-03-13T06:36:11.188Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15342380, False, False
2026-03-13T06:36:13.357Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15332872, False, False
2026-03-13T06:36:15.524Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323180, False, False
2026-03-13T06:36:17.693Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15323288, False, False
2026-03-13T06:36:19.874Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15339116, False, False
2026-03-13T06:36:22.048Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15339628, False, False
2026-03-13T06:36:24.248Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337664, False, False
2026-03-13T06:36:26.415Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15346316, False, False
2026-03-13T06:36:28.580Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 12955104, False, False
2026-03-13T06:36:30.786Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15271824, False, False
2026-03-13T06:36:32.952Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15294624, False, False
2026-03-13T06:36:35.115Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15342960, False, False
2026-03-13T06:36:37.282Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347120, False, False
2026-03-13T06:36:39.459Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15325828, False, False
2026-03-13T06:36:41.622Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15348040, False, False
2026-03-13T06:36:43.788Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345712, False, False
2026-03-13T06:36:45.960Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15335052, False, False
2026-03-13T06:36:48.143Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330508, False, False
2026-03-13T06:36:50.317Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347272, False, False
2026-03-13T06:36:52.488Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15336604, False, False
2026-03-13T06:36:54.655Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340504, False, False
2026-03-13T06:36:56.821Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15342760, False, False
2026-03-13T06:36:58.988Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341988, False, False
2026-03-13T06:37:01.156Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15328584, False, False
2026-03-13T06:37:03.323Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330240, False, False
2026-03-13T06:37:05.487Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15346372, False, False
2026-03-13T06:37:07.657Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345828, False, False
2026-03-13T06:37:09.826Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15337720, False, False
2026-03-13T06:37:11.993Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15331484, False, False
2026-03-13T06:37:14.168Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15339688, False, False
2026-03-13T06:37:16.347Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15342516, False, False
2026-03-13T06:37:18.515Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340528, False, False
2026-03-13T06:37:20.679Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347908, False, False
2026-03-13T06:37:22.845Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343876, False, False
2026-03-13T06:37:25.012Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15346956, False, False
2026-03-13T06:37:27.181Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15348896, False, False
2026-03-13T06:37:29.346Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343476, False, False
2026-03-13T06:37:31.512Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15344156, False, False
2026-03-13T06:37:33.675Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15329880, False, False
2026-03-13T06:37:35.842Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345352, False, False
2026-03-13T06:37:38.005Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15345588, False, False
2026-03-13T06:37:40.169Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15340264, False, False
2026-03-13T06:37:42.337Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15320880, False, False
2026-03-13T06:37:44.512Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15330196, False, False
2026-03-13T06:37:46.687Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347708, False, False
2026-03-13T06:37:48.856Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343848, False, False
2026-03-13T06:37:51.043Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 14809928, False, False
2026-03-13T06:37:53.256Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347672, False, False
2026-03-13T06:37:55.426Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15343020, False, False
2026-03-13T06:37:57.593Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15341900, False, False
2026-03-13T06:37:59.756Z, STRESSING, 0.00, 0.00, 0.00, 0.00, 15347908, False, False
